feature,importance,importance_std
estimated_duration_days,0.050963796429474156,0.012889127808150574
land_record_digitization_rate,0.012332324293809337,0.037783353862964046
compensation_assessed_inr,0.006510911329649116,0.022573961034327458
project_type,0.0037984038718064258,0.004243695908714296
objections_count,0.003748916818883713,0.0038874473274305844
state_ut,0.0,0.0
applicable_act,0.0,0.0
district,-0.00011229044540260515,0.000247327003034188
rr_assessed_inr,-0.0001520374086776244,0.00010810282795211803
displaced_families,-0.002950825801009617,0.011353145028844361
current_stage,-0.0030502529123516433,0.007170607307089522
affected_families,-0.0036647871948899597,0.0052414662463092215
compensation_pending_inr,-0.003943443082966963,0.00521767316942587
parcel_count,-0.009645693736237988,0.010445966756167692
land_owner_count,-0.01728396028811308,0.02241947893468672
rr_disbursed_inr,-0.021402436822762234,0.007715302093380735
land_required_hectares,-0.024052837501188164,0.007485460155282987
hearings_count,-0.02632750445424418,0.029084663178316726
compensation_disbursed_inr,-0.02706188236499665,0.004687098576548512
court_case_count,-0.05772169001461263,0.05032558765491319
